,CRS_DEP_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_DATE,FL_NUM,ORIGIN,Weather,DAY_WEEK,DAY_OF_MONTH,TAIL_NUM,FlightStatus
74,9.0,MQ,852,LGA,214,01/02/2004,4956,DCA,0,FRI,2,N713MQ,0
75,11.0,MQ,1053,LGA,214,01/02/2004,4960,DCA,0,FRI,2,N708MQ,0
76,13.0,MQ,1258,LGA,214,01/02/2004,4964,DCA,0,FRI,2,N713MQ,0
77,14.0,MQ,1402,LGA,214,01/02/2004,4966,DCA,0,FRI,2,N718MQ,0
78,15.0,MQ,1456,LGA,214,01/02/2004,4968,DCA,0,FRI,2,N708MQ,0
79,8.0,UA,850,LGA,229,01/02/2004,846,IAD,0,FRI,2,N556UA,0
80,7.0,US,657,LGA,214,01/02/2004,2160,DCA,0,FRI,2,N710UW,0
81,9.0,US,857,LGA,214,01/02/2004,2164,DCA,0,FRI,2,N736UW,0
82,11.0,US,1058,LGA,214,01/02/2004,2168,DCA,0,FRI,2,N710UW,0
83,13.0,US,1258,LGA,214,01/02/2004,2172,DCA,0,FRI,2,N736UW,0
84,15.0,US,1458,LGA,214,01/02/2004,2176,DCA,0,FRI,2,N710UW,0
85,17.0,US,1655,LGA,214,01/02/2004,2180,DCA,0,FRI,2,N736UW,0
86,19.0,US,1855,LGA,214,01/02/2004,2184,DCA,0,FRI,2,N710UW,0
87,21.0,US,2056,LGA,214,01/02/2004,2188,DCA,0,FRI,2,N736UW,0
88,17.0,RU,1715,EWR,169,01/02/2004,2675,BWI,0,FRI,2,N19966,0
89,10.0,RU,1030,EWR,169,01/02/2004,2303,BWI,0,FRI,2,N12540,0
90,7.0,RU,656,EWR,169,01/02/2004,2703,BWI,0,FRI,2,N16961,0
91,15.0,RU,1456,EWR,169,01/02/2004,2403,BWI,0,FRI,2,N12946,0
92,17.0,CO,1727,EWR,199,01/02/2004,814,DCA,0,FRI,2,N14342,0
93,13.0,CO,1301,EWR,199,01/02/2004,808,DCA,0,FRI,2,N14664,0
94,8.0,CO,754,EWR,199,01/02/2004,806,DCA,0,FRI,2,N11641,0
95,8.0,DH,837,EWR,213,01/02/2004,7299,IAD,0,FRI,2,N679BR,0
96,12.0,DH,1350,EWR,213,01/02/2004,7303,IAD,0,FRI,2,N686BR,1
97,14.0,DH,1512,EWR,213,01/02/2004,7307,IAD,0,FRI,2,N309UE,1
98,6.0,DH,629,EWR,213,01/02/2004,7371,IAD,0,FRI,2,N312UE,0
99,16.0,RU,1625,EWR,199,01/02/2004,2181,DCA,0,FRI,2,N14977,0
100,7.0,RU,655,EWR,213,01/02/2004,2855,IAD,0,FRI,2,N13990,0
101,9.0,RU,858,EWR,199,01/02/2004,2582,DCA,0,FRI,2,N14907,0
102,7.0,RU,657,EWR,199,01/02/2004,2761,DCA,0,FRI,2,N13997,0
103,17.0,RU,1650,EWR,213,01/02/2004,2497,IAD,0,FRI,2,N12528,0
104,19.0,RU,1856,EWR,213,01/02/2004,2385,IAD,0,FRI,2,N11107,0
105,13.0,RU,1253,EWR,213,01/02/2004,2692,IAD,0,FRI,2,N14505,0
106,9.0,RU,854,EWR,213,01/02/2004,3276,IAD,0,FRI,2,N16151,0
107,19.0,RU,1858,EWR,199,01/02/2004,2336,DCA,0,FRI,2,N15985,0
108,21.0,RU,2050,EWR,199,01/02/2004,2879,DCA,0,FRI,2,N17108,0
109,14.0,RU,1358,EWR,199,01/02/2004,2216,DCA,0,FRI,2,N13118,0
110,15.0,RU,1510,EWR,213,01/02/2004,2156,IAD,0,FRI,2,N11107,1
111,15.0,RU,1519,EWR,199,01/02/2004,2261,DCA,0,FRI,2,N15574,0
112,12.0,DH,1243,LGA,229,01/03/2004,7208,IAD,0,SAT,3,N688BR,0
113,17.0,DH,1738,LGA,229,01/03/2004,7215,IAD,0,SAT,3,N639BR,0
114,6.0,DH,640,LGA,229,01/03/2004,7790,IAD,0,SAT,3,N696BR,0
115,10.0,DH,1030,LGA,229,01/03/2004,7792,IAD,0,SAT,3,N696BR,0
116,8.0,DH,855,JFK,228,01/03/2004,7800,IAD,0,SAT,3,N709BR,0
117,12.0,DH,1237,JFK,228,01/03/2004,7806,IAD,0,SAT,3,N327UE,0
118,15.0,DH,1455,JFK,228,01/03/2004,7808,IAD,0,SAT,3,N309UE,0
119,16.0,DH,1654,JFK,228,01/03/2004,7810,IAD,0,SAT,3,N311UE,0
120,17.0,DH,1741,JFK,228,01/03/2004,7812,IAD,0,SAT,3,N327UE,0
121,21.0,DH,2213,JFK,228,01/03/2004,7814,IAD,0,SAT,3,N655BR,1
122,16.0,DH,1604,JFK,228,01/03/2004,7816,IAD,0,SAT,3,N329UE,0
123,21.0,DH,2138,LGA,229,01/03/2004,7924,IAD,0,SAT,3,N688BR,0
124,15.0,DL,1505,JFK,213,01/03/2004,746,DCA,0,SAT,3,N997DL,1
125,8.0,DL,828,LGA,214,01/03/2004,1744,DCA,0,SAT,3,N225DL,0
126,10.0,DL,1030,LGA,214,01/03/2004,1748,DCA,0,SAT,3,N242DL,0
127,12.0,DL,1230,LGA,214,01/03/2004,1752,DCA,0,SAT,3,N225DL,0
128,14.0,DL,1428,LGA,214,01/03/2004,1756,DCA,0,SAT,3,N242DL,0
129,16.0,DL,1629,LGA,214,01/03/2004,1760,DCA,0,SAT,3,N225DL,0
130,18.0,DL,1829,LGA,214,01/03/2004,1764,DCA,0,SAT,3,N242DL,0
131,20.0,DL,2024,LGA,214,01/03/2004,1768,DCA,0,SAT,3,N225DL,0
132,15.0,MQ,1600,JFK,213,01/03/2004,4752,DCA,0,SAT,3,N734MQ,1
133,6.0,MQ,555,JFK,213,01/03/2004,4760,DCA,0,SAT,3,N712MQ,0
134,18.0,MQ,1829,JFK,213,01/03/2004,4784,DCA,0,SAT,3,N709MQ,0
135,9.0,MQ,855,LGA,214,01/03/2004,4956,DCA,0,SAT,3,N739MQ,0
136,13.0,MQ,1254,LGA,214,01/03/2004,4964,DCA,0,SAT,3,N739MQ,0
137,8.0,UA,849,LGA,229,01/03/2004,846,IAD,0,SAT,3,N567UA,0
138,7.0,US,655,LGA,214,01/03/2004,2160,DCA,0,SAT,3,N760UW,0
139,9.0,US,858,LGA,214,01/03/2004,2164,DCA,0,SAT,3,N710UW,0
140,11.0,US,1059,LGA,214,01/03/2004,2168,DCA,0,SAT,3,N760UW,0
141,13.0,US,1256,LGA,214,01/03/2004,2172,DCA,0,SAT,3,N710UW,0
142,15.0,US,1500,LGA,214,01/03/2004,2176,DCA,0,SAT,3,N760UW,0
143,17.0,US,1658,LGA,214,01/03/2004,2180,DCA,0,SAT,3,N710UW,0
144,19.0,US,1857,LGA,214,01/03/2004,2184,DCA,0,SAT,3,N760UW,0
145,17.0,RU,1714,EWR,169,01/03/2004,2675,BWI,0,SAT,3,N15574,0
146,7.0,RU,655,EWR,169,01/03/2004,2703,BWI,0,SAT,3,N11536,0
147,10.0,RU,1026,EWR,169,01/03/2004,2303,BWI,0,SAT,3,N14907,0
148,15.0,RU,1448,EWR,169,01/03/2004,2267,BWI,0,SAT,3,N14974,0
149,13.0,CO,1255,EWR,199,01/03/2004,808,DCA,0,SAT,3,N11612,0
150,8.0,DH,857,EWR,213,01/03/2004,7299,IAD,0,SAT,3,N693BR,1
151,17.0,DH,1705,EWR,213,01/03/2004,7302,IAD,0,SAT,3,N693BR,0
152,12.0,DH,1329,EWR,213,01/03/2004,7303,IAD,0,SAT,3,N672BR,1
153,21.0,DH,2126,EWR,213,01/03/2004,7304,IAD,0,SAT,3,N643BR,0
154,6.0,DH,625,EWR,213,01/03/2004,7371,IAD,0,SAT,3,N333UE,0
155,17.0,RU,1722,EWR,213,01/03/2004,2497,IAD,0,SAT,3,N17146,0
156,14.0,RU,1356,EWR,199,01/03/2004,2216,DCA,0,SAT,3,N17513,0
157,7.0,RU,658,EWR,213,01/03/2004,2855,IAD,0,SAT,3,N14925,0
158,9.0,RU,941,EWR,199,01/03/2004,2582,DCA,0,SAT,3,N14977,0
159,17.0,RU,1738,EWR,199,01/03/2004,2097,DCA,0,SAT,3,N14998,0
160,16.0,RU,1556,EWR,199,01/03/2004,2181,DCA,0,SAT,3,N13955,0
161,15.0,RU,1511,EWR,213,01/03/2004,2156,IAD,0,SAT,3,N12136,0
162,7.0,RU,703,EWR,199,01/03/2004,2761,DCA,0,SAT,3,N14907,0
163,15.0,OH,1605,JFK,184,01/04/2004,5935,BWI,0,SUN,4,N973CA,1
164,16.0,DH,1644,JFK,213,01/04/2004,6155,DCA,0,SUN,4,N424FJ,0
165,12.0,DH,1249,LGA,229,01/04/2004,7208,IAD,0,SUN,4,N632BR,0
166,15.0,DH,1535,LGA,229,01/04/2004,7211,IAD,0,SUN,4,N654BR,1
167,17.0,DH,1837,LGA,229,01/04/2004,7215,IAD,0,SUN,4,N634BR,1
168,6.0,DH,640,LGA,229,01/04/2004,7790,IAD,0,SUN,4,N654BR,0
169,10.0,DH,1032,LGA,229,01/04/2004,7792,IAD,0,SUN,4,N654BR,0
170,8.0,DH,900,JFK,228,01/04/2004,7800,IAD,0,SUN,4,N673BR,0
171,12.0,DH,1243,JFK,228,01/04/2004,7806,IAD,0,SUN,4,N330UE,0
172,15.0,DH,1504,JFK,228,01/04/2004,7808,IAD,0,SUN,4,N314UE,0
173,16.0,DH,1642,JFK,228,01/04/2004,7810,IAD,0,SUN,4,N313UE,0
174,17.0,DH,1709,JFK,228,01/04/2004,7812,IAD,0,SUN,4,N312UE,0
175,21.0,DH,2120,JFK,228,01/04/2004,7814,IAD,0,SUN,4,N626BR,0
176,16.0,DH,1607,JFK,228,01/04/2004,7816,IAD,0,SUN,4,N327UE,0
177,21.0,DH,2116,LGA,229,01/04/2004,7924,IAD,0,SUN,4,N674BR,0
178,15.0,DL,1500,JFK,213,01/04/2004,746,DCA,0,SUN,4,N912DL,0
179,8.0,DL,828,LGA,214,01/04/2004,1744,DCA,0,SUN,4,N242DL,0
180,10.0,DL,1028,LGA,214,01/04/2004,1748,DCA,0,SUN,4,N221DL,0
181,12.0,DL,1230,LGA,214,01/04/2004,1752,DCA,0,SUN,4,N242DL,0
182,14.0,DL,1432,LGA,214,01/04/2004,1756,DCA,0,SUN,4,N221DL,0
183,16.0,DL,1629,LGA,214,01/04/2004,1760,DCA,0,SUN,4,N242DL,0
184,18.0,DL,1832,LGA,214,01/04/2004,1764,DCA,0,SUN,4,N221DL,0
185,20.0,DL,2030,LGA,214,01/04/2004,1768,DCA,0,SUN,4,N242DL,0
186,15.0,MQ,1534,JFK,213,01/04/2004,4752,DCA,0,SUN,4,N712MQ,1
187,6.0,MQ,554,JFK,213,01/04/2004,4760,DCA,0,SUN,4,N737MQ,0
188,7.0,MQ,745,JFK,213,01/04/2004,4771,DCA,0,SUN,4,N719MQ,0
189,18.0,MQ,1858,JFK,213,01/04/2004,4784,DCA,0,SUN,4,N727MQ,1
190,13.0,MQ,1257,LGA,214,01/04/2004,4964,DCA,0,SUN,4,N737MQ,0
191,15.0,MQ,1458,LGA,214,01/04/2004,4968,DCA,0,SUN,4,N727MQ,1
192,17.0,MQ,1659,LGA,214,01/04/2004,4972,DCA,0,SUN,4,N708MQ,0
193,19.0,MQ,1936,LGA,214,01/04/2004,4976,DCA,0,SUN,4,N719MQ,1
194,8.0,UA,849,LGA,229,01/04/2004,846,IAD,0,SUN,4,N559UA,0
195,9.0,US,858,LGA,214,01/04/2004,2164,DCA,0,SUN,4,N730UW,0
196,10.0,US,954,LGA,214,01/04/2004,2166,DCA,0,SUN,4,N765UW,0
197,11.0,US,1055,LGA,214,01/04/2004,2168,DCA,0,SUN,4,N746UW,0
198,12.0,US,1158,LGA,214,01/04/2004,2170,DCA,0,SUN,4,N711UW,0
199,13.0,US,1257,LGA,214,01/04/2004,2172,DCA,0,SUN,4,N730UW,0
200,14.0,US,1359,LGA,214,01/04/2004,2174,DCA,0,SUN,4,N765UW,0
201,15.0,US,1456,LGA,214,01/04/2004,2176,DCA,0,SUN,4,N746UW,0
202,16.0,US,1559,LGA,214,01/04/2004,2178,DCA,0,SUN,4,N711UW,0
203,17.0,US,1658,LGA,214,01/04/2004,2180,DCA,0,SUN,4,N730UW,0
204,18.0,US,1758,LGA,214,01/04/2004,2182,DCA,0,SUN,4,N765UW,0
205,19.0,US,1857,LGA,214,01/04/2004,2184,DCA,0,SUN,4,N746UW,0
206,20.0,US,1957,LGA,214,01/04/2004,2186,DCA,0,SUN,4,N711UW,0
207,21.0,US,2059,LGA,214,01/04/2004,2188,DCA,0,SUN,4,N730UW,0
208,15.0,RU,1615,EWR,169,01/04/2004,2403,BWI,0,SUN,4,N14943,1
209,13.0,RU,1416,EWR,169,01/04/2004,2703,BWI,0,SUN,4,N13949,1
210,16.0,RU,2030,EWR,169,01/04/2004,2603,BWI,0,SUN,4,N14933,1
211,10.0,RU,1235,EWR,169,01/04/2004,2303,BWI,0,SUN,4,N19966,1
212,13.0,CO,1255,EWR,199,01/04/2004,808,DCA,0,SUN,4,N59630,0
213,16.0,CO,1833,EWR,199,01/04/2004,810,DCA,0,SUN,4,N16649,1
214,8.0,DH,857,EWR,213,01/04/2004,7299,IAD,0,SUN,4,N640BR,0
215,17.0,DH,1917,EWR,213,01/04/2004,7302,IAD,0,SUN,4,N697BR,1
216,12.0,DH,1310,EWR,213,01/04/2004,7303,IAD,0,SUN,4,N638BR,1
217,21.0,DH,2221,EWR,213,01/04/2004,7304,IAD,0,SUN,4,N697BR,1
218,14.0,DH,1600,EWR,213,01/04/2004,7307,IAD,0,SUN,4,N328UE,1
219,17.0,RU,1952,EWR,199,01/04/2004,2097,DCA,0,SUN,4,N12136,1
220,9.0,RU,927,EWR,199,01/04/2004,2582,DCA,0,SUN,4,N13992,0
221,9.0,RU,858,EWR,213,01/04/2004,3276,IAD,0,SUN,4,N15985,0
222,19.0,RU,2110,EWR,213,01/04/2004,2385,IAD,0,SUN,4,N24128,1
223,14.0,RU,1356,EWR,199,01/04/2004,2216,DCA,0,SUN,4,N16987,1
224,19.0,RU,2120,EWR,199,01/04/2004,2336,DCA,0,SUN,4,N12569,1
225,15.0,RU,1557,EWR,213,01/04/2004,2156,IAD,0,SUN,4,N18101,1
226,15.0,OH,1610,JFK,184,01/05/2004,5935,BWI,0,MON,5,N814CA,1
227,16.0,DH,1638,JFK,213,01/05/2004,6155,DCA,0,MON,5,N424FJ,1
228,12.0,DH,1338,LGA,229,01/05/2004,7208,IAD,0,MON,5,N674BR,1
229,15.0,DH,1606,LGA,229,01/05/2004,7211,IAD,0,MON,5,N643BR,1
230,17.0,DH,1848,LGA,229,01/05/2004,7215,IAD,0,MON,5,N649BR,1
231,6.0,DH,633,LGA,229,01/05/2004,7790,IAD,0,MON,5,N643BR,1
232,10.0,DH,1054,LGA,229,01/05/2004,7792,IAD,0,MON,5,N643BR,0
233,8.0,DH,946,JFK,228,01/05/2004,7800,IAD,0,MON,5,N651BR,1
234,12.0,DH,1312,JFK,228,01/05/2004,7806,IAD,0,MON,5,N305UE,1
235,16.0,DH,1700,JFK,228,01/05/2004,7810,IAD,0,MON,5,N331UE,0
236,17.0,DH,1709,JFK,228,01/05/2004,7812,IAD,0,MON,5,N332UE,0
237,21.0,DH,2200,JFK,228,01/05/2004,7814,IAD,0,MON,5,N683BR,1
238,16.0,DH,1651,JFK,228,01/05/2004,7816,IAD,0,MON,5,N303UE,1
239,21.0,DH,2125,LGA,229,01/05/2004,7924,IAD,0,MON,5,N699BR,0
240,15.0,DL,1459,JFK,213,01/05/2004,746,DCA,0,MON,5,N994DL,0
241,6.0,DL,630,LGA,214,01/05/2004,1740,DCA,0,MON,5,N221DL,0
242,7.0,DL,734,LGA,214,01/05/2004,1742,DCA,0,MON,5,N241DL,0
243,8.0,DL,830,LGA,214,01/05/2004,1744,DCA,0,MON,5,N242DL,0
244,9.0,DL,932,LGA,214,01/05/2004,1746,DCA,0,MON,5,N225DL,0
245,10.0,DL,1031,LGA,214,01/05/2004,1748,DCA,0,MON,5,N223DZ,0
246,11.0,DL,1128,LGA,214,01/05/2004,1750,DCA,0,MON,5,N241DL,0
247,12.0,DL,1230,LGA,214,01/05/2004,1752,DCA,0,MON,5,N242DL,0
248,13.0,DL,1329,LGA,214,01/05/2004,1754,DCA,0,MON,5,N225DL,0
249,14.0,DL,1427,LGA,214,01/05/2004,1756,DCA,0,MON,5,N223DZ,0
250,16.0,DL,1635,LGA,214,01/05/2004,1760,DCA,0,MON,5,N242DL,0
251,17.0,DL,1730,LGA,214,01/05/2004,1762,DCA,0,MON,5,N225DL,0
252,18.0,DL,1829,LGA,214,01/05/2004,1764,DCA,0,MON,5,N223DZ,0
253,19.0,DL,1955,LGA,214,01/05/2004,1766,DCA,0,MON,5,N241DL,1
254,20.0,DL,2028,LGA,214,01/05/2004,1768,DCA,0,MON,5,N242DL,0
255,15.0,MQ,1538,JFK,213,01/05/2004,4752,DCA,0,MON,5,N704MQ,0
256,6.0,MQ,557,JFK,213,01/05/2004,4760,DCA,0,MON,5,N707MQ,0
257,7.0,MQ,656,LGA,214,01/05/2004,4952,DCA,0,MON,5,N712MQ,0
258,8.0,MQ,758,LGA,214,01/05/2004,4954,DCA,0,MON,5,N724MQ,0
259,9.0,MQ,859,LGA,214,01/05/2004,4956,DCA,0,MON,5,N719MQ,0
260,11.0,MQ,1103,LGA,214,01/05/2004,4960,DCA,0,MON,5,N706MQ,0
261,13.0,MQ,1250,LGA,214,01/05/2004,4964,DCA,0,MON,5,N716MQ,0
262,16.0,MQ,1627,LGA,214,01/05/2004,4970,DCA,0,MON,5,N700MQ,1
263,17.0,MQ,1702,LGA,214,01/05/2004,4972,DCA,0,MON,5,N724MQ,0
264,19.0,MQ,1949,LGA,214,01/05/2004,4976,DCA,0,MON,5,N846MQ,1
265,8.0,UA,848,LGA,229,01/05/2004,846,IAD,0,MON,5,N516UA,0
266,6.0,US,627,LGA,214,01/05/2004,1479,DCA,0,MON,5,N765UW,1
267,7.0,US,657,LGA,214,01/05/2004,2160,DCA,0,MON,5,N762UW,0
268,8.0,US,757,LGA,214,01/05/2004,2162,DCA,0,MON,5,N750UW,0
269,9.0,US,900,LGA,214,01/05/2004,2164,DCA,0,MON,5,N733UW,0
270,10.0,US,958,LGA,214,01/05/2004,2166,DCA,0,MON,5,N767UW,0
271,11.0,US,1057,LGA,214,01/05/2004,2168,DCA,0,MON,5,N762UW,0
272,12.0,US,1155,LGA,214,01/05/2004,2170,DCA,0,MON,5,N750UW,0
273,13.0,US,1257,LGA,214,01/05/2004,2172,DCA,0,MON,5,N733UW,0
274,14.0,US,1358,LGA,214,01/05/2004,2174,DCA,0,MON,5,N767UW,0
275,15.0,US,1500,LGA,214,01/05/2004,2176,DCA,0,MON,5,N762UW,0
276,16.0,US,1601,LGA,214,01/05/2004,2178,DCA,0,MON,5,N750UW,0
277,17.0,US,1657,LGA,214,01/05/2004,2180,DCA,0,MON,5,N733UW,0
278,18.0,US,1757,LGA,214,01/05/2004,2182,DCA,0,MON,5,N767UW,0
279,19.0,US,1857,LGA,214,01/05/2004,2184,DCA,0,MON,5,N762UW,0
280,20.0,US,1959,LGA,214,01/05/2004,2186,DCA,0,MON,5,N750UW,0
281,21.0,US,2100,LGA,214,01/05/2004,2188,DCA,0,MON,5,N733UW,0
282,7.0,RU,744,EWR,169,01/05/2004,2703,BWI,0,MON,5,N14923,1
283,15.0,RU,1527,EWR,169,01/05/2004,2403,BWI,0,MON,5,N12946,1
284,10.0,RU,1221,EWR,169,01/05/2004,2303,BWI,0,MON,5,N16951,1
285,13.0,CO,1324,EWR,199,01/05/2004,808,DCA,0,MON,5,N14628,1
286,8.0,CO,757,EWR,199,01/05/2004,806,DCA,0,MON,5,N14654,0
287,17.0,CO,1846,EWR,199,01/05/2004,814,DCA,0,MON,5,N14341,1
288,8.0,DH,844,EWR,213,01/05/2004,7299,IAD,0,MON,5,N622BR,0
289,17.0,DH,1920,EWR,213,01/05/2004,7302,IAD,0,MON,5,N697BR,1
290,12.0,DH,1357,EWR,213,01/05/2004,7303,IAD,0,MON,5,N664BR,1
291,21.0,DH,2312,EWR,213,01/05/2004,7304,IAD,0,MON,5,N667BR,1
292,14.0,DH,1536,EWR,213,01/05/2004,7307,IAD,0,MON,5,N320UE,1
293,6.0,DH,624,EWR,213,01/05/2004,7371,IAD,0,MON,5,N330UE,0
294,7.0,RU,700,EWR,199,01/05/2004,2761,DCA,0,MON,5,N18556,0
295,9.0,RU,1056,EWR,199,01/05/2004,2582,DCA,0,MON,5,N14952,1
296,13.0,RU,1321,EWR,213,01/05/2004,2692,IAD,0,MON,5,N16511,1
297,21.0,RU,2105,EWR,199,01/05/2004,2879,DCA,0,MON,5,N12126,0
